광역시도,기초지자체,배출연도,배출월,배출일,배출량(g),배출횟수
경기도,가평군,2024,1,1,77400,39
경기도,가평군,2024,1,2,54550,33
경기도,가평군,2024,1,3,70100,43
경기도,가평군,2024,1,4,95800,60
경기도,가평군,2024,1,5,109300,65
경기도,가평군,2024,1,6,157400,80
경기도,가평군,2024,1,7,174500,100
경기도,가평군,2024,1,8,133650,83
경기도,가평군,2024,1,9,166850,96
경기도,가평군,2024,1,10,141100,88
경기도,가평군,2024,1,11,146850,95
경기도,가평군,2024,1,12,165000,86
경기도,가평군,2024,1,13,122950,85
경기도,가평군,2024,1,14,219850,126
경기도,가평군,2024,1,15,155800,92
경기도,가평군,2024,1,16,183950,97
경기도,가평군,2024,1,17,153450,94
경기도,가평군,2024,1,18,191350,112
경기도,가평군,2024,1,19,165750,103
경기도,가평군,2024,1,20,216950,117
경기도,가평군,2024,1,21,267700,156
경기도,가평군,2024,1,22,210150,117
경기도,가평군,2024,1,23,184850,106
경기도,가평군,2024,1,24,173100,96
경기도,가평군,2024,1,25,140000,98
경기도,가평군,2024,1,26,217300,119
경기도,가평군,2024,1,27,215900,129
경기도,가평군,2024,1,28,269850,154
경기도,가평군,2024,1,29,258050,131
경기도,가평군,2024,1,30,199350,121
경기도,가평군,2024,1,31,214750,125
경기도,고양시,2024,1,1,18247900,10917
경기도,고양시,2024,1,2,14717600,9087
경기도,고양시,2024,1,3,13075300,8538
경기도,고양시,2024,1,4,13457600,8826
경기도,고양시,2024,1,5,12675150,8306
경기도,고양시,2024,1,6,12661200,8207
경기도,고양시,2024,1,7,17009500,10610
경기도,고양시,2024,1,8,14850300,9359
경기도,고양시,2024,1,9,12335750,7992
경기도,고양시,2024,1,10,13423250,8816
경기도,고양시,2024,1,11,12826500,8554
경기도,고양시,2024,1,12,12192500,8073
경기도,고양시,2024,1,13,13254650,8544
경기도,고양시,2024,1,14,16283450,10297
경기도,고양시,2024,1,15,14786600,9314
경기도,고양시,2024,1,16,12397250,8373
경기도,고양시,2024,1,17,11196750,7522
경기도,고양시,2024,1,18,13787000,8998
경기도,고양시,2024,1,19,12208600,8154
경기도,고양시,2024,1,20,12392050,8019
경기도,고양시,2024,1,21,17163600,10889
경기도,고양시,2024,1,22,12984600,8315
경기도,고양시,2024,1,23,10647250,7136
경기도,고양시,2024,1,24,12101600,8049
경기도,고양시,2024,1,25,12187600,8002
경기도,고양시,2024,1,26,12067350,7916
경기도,고양시,2024,1,27,12791900,8220
경기도,고양시,2024,1,28,16553050,10440
경기도,고양시,2024,1,29,13723750,8808
경기도,고양시,2024,1,30,12519400,8243
경기도,고양시,2024,1,31,11989000,8227
경기도,과천시,2024,1,1,3607880,2390
경기도,과천시,2024,1,2,3386140,2166
경기도,과천시,2024,1,3,2886289,1974
경기도,과천시,2024,1,4,3083239,2076
경기도,과천시,2024,1,5,2671869,1857
경기도,과천시,2024,1,6,3079700,2086
경기도,과천시,2024,1,7,3669720,2450
경기도,과천시,2024,1,8,3111689,2068
경기도,과천시,2024,1,9,2900230,1964
경기도,과천시,2024,1,10,2878840,1954
경기도,과천시,2024,1,11,3068829,2013
경기도,과천시,2024,1,12,2662619,1877
경기도,과천시,2024,1,13,2914050,2006
경기도,과천시,2024,1,14,3628750,2456
경기도,과천시,2024,1,15,3026870,2020
경기도,과천시,2024,1,16,2926320,1979
경기도,과천시,2024,1,17,2523350,1701
경기도,과천시,2024,1,18,2972920,2101
경기도,과천시,2024,1,19,2717250,1879
경기도,과천시,2024,1,20,2645159,1783
경기도,과천시,2024,1,21,3618909,2561
경기도,과천시,2024,1,22,3044580,1932
경기도,과천시,2024,1,23,2684790,1840
경기도,과천시,2024,1,24,2656229,1817
경기도,과천시,2024,1,25,2747459,1924
경기도,과천시,2024,1,26,2628880,1861
경기도,과천시,2024,1,27,2665679,1907
경기도,과천시,2024,1,28,3562570,2457
경기도,과천시,2024,1,29,2921729,1952
경기도,과천시,2024,1,30,2813219,1893
경기도,과천시,2024,1,31,2714650,1916
경기도,광명시,2024,1,1,1928130,1331
경기도,광명시,2024,1,2,1566870,1047
경기도,광명시,2024,1,3,1411270,1002
경기도,광명시,2024,1,4,1551060,1137
경기도,광명시,2024,1,5,1240630,904
경기도,광명시,2024,1,6,1589610,1056
경기도,광명시,2024,1,7,2094320,1459
경기도,광명시,2024,1,8,1550030,1061
경기도,광명시,2024,1,9,1277070,932
경기도,광명시,2024,1,10,1461390,1025
경기도,광명시,2024,1,11,1579670,1142
경기도,광명시,2024,1,12,1291970,929
경기도,광명시,2024,1,13,1486850,967
경기도,광명시,2024,1,14,2117980,1470
경기도,광명시,2024,1,15,1640490,1143
경기도,광명시,2024,1,16,1353920,989
경기도,광명시,2024,1,17,1244610,878
경기도,광명시,2024,1,18,1700110,1248
경기도,광명시,2024,1,19,1258250,928
경기도,광명시,2024,1,20,1426140,1007
경기도,광명시,2024,1,21,2079120,1457
경기도,광명시,2024,1,22,1506390,1045
경기도,광명시,2024,1,23,1199750,861
경기도,광명시,2024,1,24,1428560,974
경기도,광명시,2024,1,25,1594900,1125
경기도,광명시,2024,1,26,1391860,958
경기도,광명시,2024,1,27,1426240,992
경기도,광명시,2024,1,28,2118200,1419
경기도,광명시,2024,1,29,1686080,1162
경기도,광명시,2024,1,30,1359240,954
경기도,광명시,2024,1,31,1472420,1010
경기도,광주시,2024,1,1,6350600,3530
경기도,광주시,2024,1,2,4900550,2804
경기도,광주시,2024,1,3,4567050,2707
경기도,광주시,2024,1,4,4174300,2604
경기도,광주시,2024,1,5,4448050,2700
경기도,광주시,2024,1,6,5030350,3018
경기도,광주시,2024,1,7,6070200,3477
경기도,광주시,2024,1,8,5124650,3089
경기도,광주시,2024,1,9,4573100,2631
경기도,광주시,2024,1,10,4910600,3029
경기도,광주시,2024,1,11,4350500,2697
경기도,광주시,2024,1,12,4429500,2708
경기도,광주시,2024,1,13,4914950,2903
경기도,광주시,2024,1,14,6006200,3381
경기도,광주시,2024,1,15,5294950,3140
경기도,광주시,2024,1,16,4687300,2848
경기도,광주시,2024,1,17,4675650,2793
경기도,광주시,2024,1,18,4891800,3068
경기도,광주시,2024,1,19,4454200,2824
경기도,광주시,2024,1,20,4484700,2770
경기도,광주시,2024,1,21,6683200,3907
경기도,광주시,2024,1,22,4881450,2987
경기도,광주시,2024,1,23,4475650,2715
경기도,광주시,2024,1,24,5024100,3052
경기도,광주시,2024,1,25,4330550,2732
경기도,광주시,2024,1,26,4529000,2799
경기도,광주시,2024,1,27,4892600,2985
경기도,광주시,2024,1,28,6382300,3758
경기도,광주시,2024,1,29,5576000,3281
경기도,광주시,2024,1,30,5010050,3029
경기도,광주시,2024,1,31,5290800,3342
경기도,구리시,2024,1,1,27948400,12945
경기도,구리시,2024,1,2,21187750,11304
경기도,구리시,2024,1,3,20852650,11344
경기도,구리시,2024,1,4,19155540,10931
경기도,구리시,2024,1,5,18942450,10449
경기도,구리시,2024,1,6,16924290,10095
경기도,구리시,2024,1,7,20604200,12717
경기도,구리시,2024,1,8,24304290,11465
경기도,구리시,2024,1,9,16884900,9724
경기도,구리시,2024,1,10,21087400,11716
경기도,구리시,2024,1,11,18733200,10598
경기도,구리시,2024,1,12,18905300,10273
경기도,구리시,2024,1,13,16129050,10095
경기도,구리시,2024,1,14,20374850,12489
경기도,구리시,2024,1,15,23472660,11197
경기도,구리시,2024,1,16,19030500,10491
경기도,구리시,2024,1,17,18085400,9887
경기도,구리시,2024,1,18,19253900,11142
경기도,구리시,2024,1,19,18987050,10604
경기도,구리시,2024,1,20,16167850,9784
경기도,구리시,2024,1,21,20553550,12950
경기도,구리시,2024,1,22,21910200,10458
경기도,구리시,2024,1,23,16441000,9253
경기도,구리시,2024,1,24,18471750,10744
경기도,구리시,2024,1,25,17323560,10087
경기도,구리시,2024,1,26,18040440,10051
경기도,구리시,2024,1,27,16324150,10008
경기도,구리시,2024,1,28,19963150,12560
경기도,구리시,2024,1,29,22452300,10643
경기도,구리시,2024,1,30,18749450,10627
경기도,구리시,2024,1,31,18835600,11072
경기도,군포시,2024,1,1,7459050,4303
경기도,군포시,2024,1,2,6142300,3774
경기도,군포시,2024,1,3,5755250,3703
경기도,군포시,2024,1,4,4858750,3273
경기도,군포시,2024,1,5,4714150,3203
경기도,군포시,2024,1,6,5063200,3242
경기도,군포시,2024,1,7,6926150,4201
경기도,군포시,2024,1,8,5961300,3826
경기도,군포시,2024,1,9,4676700,3089
