광역지자체,기초지자체,개별계량장비,추정세대수
서울특별시,종로구,266,15503
서울특별시,중구,454,27677
서울특별시,용산구,215,13733
서울특별시,성동구,749,50522
서울특별시,광진구,742,34138
서울특별시,동대문구,700,54121
서울특별시,중랑구,1160,58557
서울특별시,성북구,665,51469
서울특별시,강북구,390,22230
서울특별시,도봉구,1373,72931
서울특별시,노원구,2153,136944
서울특별시,은평구,682,42299
서울특별시,서대문구,865,55959
서울특별시,마포구,1312,80636
서울특별시,양천구,763,44777
서울특별시,강서구,1075,72685
서울특별시,구로구,732,50775
서울특별시,금천구,678,43120
서울특별시,영등포구,1718,98462
서울특별시,동작구,988,58922
서울특별시,관악구,642,34844
서울특별시,서초구,785,52522
서울특별시,강남구,1060,67697
서울특별시,송파구,3384,159738
서울특별시,강동구,1360,86295
부산광역시,중구,23,2672
부산광역시,서구,182,14983
부산광역시,동구,164,13807
부산광역시,영도구,237,20818
부산광역시,부산진구,906,80896
부산광역시,동래구,702,51510
부산광역시,남구,716,58838
부산광역시,북구,710,69139
부산광역시,해운대구,1092,95728
부산광역시,사하구,718,65269
부산광역시,금정구,437,38474
부산광역시,강서구,558,45604
부산광역시,연제구,543,49500
부산광역시,수영구,391,34608
부산광역시,사상구,652,55029
부산광역시,기장군,625,46930
대구광역시,중구,438,30213
대구광역시,동구,653,49548
대구광역시,서구,250,19216
대구광역시,남구,293,18983
대구광역시,북구,867,67729
대구광역시,수성구,1076,71651
대구광역시,달서구,1465,119497
대구광역시,달성군,710,58999
인천광역시,중구,326,21662
인천광역시,동구,303,18756
인천광역시,연수구,1377,93281
인천광역시,남동구,2206,114805
인천광역시,부평구,1758,102194
인천광역시,계양구,657,44244
인천광역시,서구,2672,147434
인천광역시,미추홀구,1145,75164
인천광역시,강화군,74,3175
광주광역시,동구,484,26816
광주광역시,서구,1388,81018
광주광역시,남구,772,45969
광주광역시,북구,1358,92264
광주광역시,광산구,1506,91123
대전광역시,동구,168,12047
대전광역시,중구,238,19481
대전광역시,서구,643,42799
대전광역시,유성구,232,15551
대전광역시,대덕구,301,18169
울산광역시,중구,500,30849
울산광역시,남구,662,45289
울산광역시,동구,387,26659
울산광역시,북구,575,38594
울산광역시,울주군,492,34118
경기도,수원시,5244,308260
경기도,성남시,490,29681
경기도,의정부시,717,44502
경기도,안양시,782,58495
경기도,부천시,1753,100232
경기도,광명시,120,10283
경기도,평택시,820,49123
경기도,동두천시,365,20876
경기도,고양시,821,46096
경기도,과천시,126,11681
경기도,구리시,842,50627
경기도,남양주시,1605,115494
경기도,오산시,1226,74090
경기도,시흥시,1455,83764
경기도,군포시,323,24675
경기도,의왕시,526,30392
경기도,하남시,204,11939
경기도,용인시,4842,275548
경기도,파주시,1364,83371
경기도,이천시,782,42702
경기도,안성시,145,8394
경기도,김포시,172,10237
경기도,화성시,5186,307780
경기도,광주시,333,17358
경기도,양주시,1148,76959
경기도,포천시,370,21894
경기도,여주시,322,15592
경기도,연천군,6,499
경기도,가평군,31,2034
경기도,양평군,54,4074
강원도,춘천시,956,56417
강원도,원주시,1482,117168
강원도,강릉시,496,32702
강원도,동해시,344,24151
강원도,태백시,32,1877
강원도,속초시,212,14587
강원도,삼척시,214,9781
강원도,홍천군,368,11442
강원도,횡성군,269,11342
강원도,영월군,18,693
강원도,정선군,89,4278
강원도,철원군,141,5305
강원도,양구군,37,1928
강원도,고성군,131,4842
충청북도,청주시,2554,176282
충청북도,진천군,45,2745
충청북도,음성군,39,2643
충청남도,아산시,185,11385
충청남도,서산시,182,10681
충청남도,계룡시,80,4987
충청남도,당진시,91,5739
충청남도,부여군,75,4583
전라북도,전주시,26,1319
전라북도,군산시,969,54060
전라북도,익산시,825,63607
전라북도,정읍시,379,21444
전라북도,임실군,52,2441
전라북도,순창군,13,630
전라북도,고창군,207,8310
전라북도,부안군,109,6013
전라남도,목포시,79,7438
전라남도,여수시,279,20228
전라남도,순천시,805,49308
전라남도,나주시,144,10376
전라남도,광양시,11,547
전라남도,곡성군,1,24
전라남도,화순군,20,1557
전라남도,해남군,12,937
전라남도,영암군,28,1654
전라남도,무안군,68,4374
전라남도,함평군,8,291
전라남도,영광군,36,1698
전라남도,완도군,1,71
경상북도,포항시,1357,131900
경상북도,김천시,635,37724
경상북도,안동시,808,40071
경상북도,구미시,1617,117183
경상북도,영주시,585,24442
경상북도,영천시,149,9585
경상북도,상주시,131,9848
경상북도,경산시,920,67948
경상북도,의성군,6,198
경상북도,영양군,3,30
경상북도,영덕군,91,1577
경상북도,성주군,281,1570
경상북도,칠곡군,20,835
경상북도,예천군,170,8511
경상북도,울진군,469,20801
경상북도,울릉군,232,7800
경상남도,진주시,989,61792
경상남도,통영시,58,3102
경상남도,김해시,2211,151093
경상남도,거제시,184,14554
경상남도,양산시,1221,88455
경상남도,창원시,337,21130
경상남도,의령군,12,743
경상남도,창녕군,412,15080
경상남도,고성군,104,5223
경상남도,하동군,50,2536
경상남도,거창군,14,1128
경상남도,합천군,5,150
제주특별자치도,제주시,5700,186260
제주특별자치도,서귀포시,2575,41014
